# Khan2004 Figure 2
# Temperature: 588 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.003704,685.82
0.01284,729.45
0.023951,765.45
0.037284,797.09
0.04963,824.36
0.059753,840.73
0.07358,864.73
0.084444,882.18
0.096543,897.45
0.10716,913.82
0.120494,929.09
0.13358,947.64
0.144691,959.64
0.154815,972.73
0.165926,983.64
0.17679,997.82
0.187407,1008.73
0.199012,1019.64
0.210864,1029.45
0.219259,1037.09
