# Khan2004 Figure 1
# Temperature: 296 K
# Strain rate: 1.0e0 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.001982,1130.05
0.007432,1148.63
0.014368,1166.12
0.023039,1193.44
0.031462,1210.93
0.040875,1229.51
0.049546,1249.18
0.057473,1265.57
0.065896,1284.15
0.074319,1297.27
0.082742,1312.57
0.093642,1330.05
0.103551,1346.45
0.115194,1357.38
0.125351,1368.31
0.132783,1381.42
0.139967,1391.26
0.149381,1403.28
0.160033,1417.49
0.169199,1426.23
0.178613,1433.88
