# Khan2004 Figure 1
# Temperature: 296 K
# Strain rate: 1.0e-3 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, <0.0003
#  N, 0.008
#  C, 0.043
#  H, 0.0041
# Fe, 0.15
#  O, 0.174
# Al, 5.97
#  V, 4.09
# ----------
# plas. strain, stress (MPa)
0.000495,984.7
0.002725,1014.21
0.007927,1027.32
0.015359,1051.37
0.02403,1071.04
0.035425,1098.36
0.046078,1122.4
0.057473,1146.45
0.069364,1172.68
0.081503,1192.35
0.091908,1204.37
0.103055,1222.95
0.11346,1232.79
0.12436,1251.37
0.136003,1262.3
0.146656,1274.32
0.155574,1283.06
0.166226,1292.9
0.179851,1311.48
0.194715,1324.59
